label,Total Population
2021,4250114
2020,4360444
2019,4441100
2018,4317185
2017,4124904
2016,4048085
2015,3908743
2014,3761584
2013,3646518
2012,3394663
2011,3143825
2010,2943356
2009,2795550
2008,2650930
2007,2506769
2006,2363409
2005,2235403
2004,2153481
2003,2101506
2002,2047364
2001,1991674
2000,1934901
1999,1877427
1998,1819544
1997,1761468
1996,1703318
1995,1655222
1994,1641106
1993,1653645
1992,1620633
1991,1339500
1990,1674938
1989,2210013
1988,2129153
1987,2048477
1986,1968093
1985,1888975
1984,1813986
1983,1736028
1982,1652921
1981,1573026
1980,1493870
1979,1412266
1978,1329074
1977,1247225
1976,1168791
1975,1095998
1974,1030426
1973,970527
1972,913785
1971,858734
1970,802786
1969,743044
1968,681117
1967,621242
1966,565463
1965,513840
1964,465748
1963,420494
1962,378190
1961,339697
1960,305415
